"CODE","ACCPDX","STRAGE","ENDAGE","SEX","PDX_LEVEL","BK1","BK2"
"A30","True",0,200,"12",0,"",""
"A300","True",0,200,"12",0,"",""
"A301","True",0,200,"12",0,"",""
"A302","True",0,200,"12",0,"",""
"A303","True",0,200,"12",0,"",""
"A304","True",0,200,"12",0,"",""
"A305","True",0,200,"12",0,"",""
"A308","True",0,200,"12",0,"",""
"A309","True",0,200,"12",0,"",""
"A31","True",0,200,"12",0,"",""
"A310","True",0,200,"12",0,"",""
"A311","True",0,200,"12",0,"",""
"A318","True",0,200,"12",0,"",""
"A319","True",0,200,"12",0,"",""
"A32","True",0,200,"12",0,"",""
"A320","True",0,200,"12",0,"",""
"A321","True",0,200,"12",0,"",""
"A327","True",0,200,"12",0,"",""
"A328","True",0,200,"12",0,"",""
"A329","True",0,200,"12",0,"",""
"A33","True",0,1,"12",0,"",""
"A34","True",9,60,"2",0,"",""
"A35","True",0,200,"12",0,"",""
"A36","True",0,200,"12",0,"",""
"A360","True",0,200,"12",0,"",""
"A361","True",0,200,"12",0,"",""
"A362","True",0,200,"12",0,"",""
"A363","True",0,200,"12",0,"",""
"A368","True",0,200,"12",0,"",""
"A369","True",0,200,"12",0,"",""
"A37","True",0,200,"12",0,"",""
"A370","True",0,200,"12",0,"",""
"A371","True",0,200,"12",0,"",""
"A378","True",0,200,"12",0,"",""
"A379","True",0,200,"12",0,"",""
"A38","True",0,200,"12",0,"",""
"A39","True",0,200,"12",0,"",""
"A390","True",0,200,"12",0,"",""
"A391","True",0,200,"12",0,"",""
"A392","True",0,200,"12",0,"",""
"A393","True",0,200,"12",0,"",""
"A394","True",0,200,"12",0,"",""
"A395","True",0,200,"12",0,"",""
"A398","True",0,200,"12",0,"",""
"A399","True",0,200,"12",0,"",""
"A40","True",0,200,"12",0,"",""
"A400","True",0,200,"12",0,"",""
"A401","True",0,200,"12",0,"",""
"A402","True",0,200,"12",0,"",""
"A403","True",0,200,"12",0,"",""
"A408","True",0,200,"12",0,"",""
"A409","True",0,200,"12",0,"",""
"A41","True",0,200,"12",0,"",""
"A410","True",0,200,"12",0,"",""
"A411","True",0,200,"12",0,"",""
"A412","True",0,200,"12",0,"",""
"A413","True",0,200,"12",0,"",""
"A414","True",0,200,"12",0,"",""
"A415","True",0,200,"12",0,"",""
"A418","True",0,200,"12",0,"",""
"A419","True",0,200,"12",0,"",""
"A42","True",0,200,"12",0,"",""
"A420","True",0,200,"12",0,"",""
"A421","True",0,200,"12",0,"",""
"A422","True",0,200,"12",0,"",""
"A427","True",0,200,"12",0,"",""
"A428","True",0,200,"12",0,"",""
"A429","True",0,200,"12",0,"",""
"A43","True",0,200,"12",0,"",""
"A430","True",0,200,"12",0,"",""
"A431","True",0,200,"12",0,"",""
"A438","True",0,200,"12",0,"",""
"A439","True",0,200,"12",0,"",""
"A44","True",0,200,"12",0,"",""
"A440","True",0,200,"12",0,"",""
"A441","True",0,200,"12",0,"",""
"A448","True",0,200,"12",0,"",""
"A449","True",0,200,"12",0,"",""
"A46","True",0,200,"12",0,"",""
"A48","True",0,200,"12",0,"",""
"A480","True",0,200,"12",0,"",""
"A481","True",0,200,"12",0,"",""
"A482","True",0,200,"12",0,"",""
"A483","True",0,200,"12",0,"",""
"A484","True",0,200,"12",0,"",""
"A488","True",0,200,"12",0,"",""
"A49","True",0,200,"12",0,"",""
"A490","True",0,200,"12",0,"",""
"A491","True",0,200,"12",0,"",""
"A492","True",0,200,"12",0,"",""
"A493","True",0,200,"12",0,"",""
"A498","True",0,200,"12",0,"",""
"A499","True",0,200,"12",0,"",""
"A50","True",0,200,"12",0,"",""
"A500","True",0,2,"12",0,"",""
"A501","True",0,2,"12",0,"",""
"A502","True",0,2,"12",0,"",""
"A503","True",1,200,"12",0,"",""
"A504","True",1,200,"12",0,"",""
"A505","True",1,200,"12",0,"",""
"A506","True",1,200,"12",0,"",""
"A507","True",1,200,"12",0,"",""
"A509","True",0,200,"12",0,"",""
"A51","True",1,200,"12",0,"",""
"A510","True",1,200,"12",0,"",""
"A511","True",1,200,"12",0,"",""
"A512","True",1,200,"12",0,"",""
"A513","True",1,200,"12",0,"",""
"A514","True",1,200,"12",0,"",""
"A515","True",1,200,"12",0,"",""
"A519","True",1,200,"12",0,"",""
"A52","True",16,200,"12",0,"",""
"A520","True",16,200,"12",0,"",""
"A521","True",16,200,"12",0,"",""
"A522","True",16,200,"12",0,"",""
"A523","True",16,200,"12",0,"",""
"A527","True",16,200,"12",0,"",""
"A528","True",16,200,"12",0,"",""
"A529","True",16,200,"12",0,"",""
"A53","True",1,200,"12",0,"",""
"A530","True",1,200,"12",0,"",""
"A539","True",1,200,"12",0,"",""
"A54","True",0,200,"12",0,"",""
"A540","True",1,200,"12",0,"",""
"A541","True",1,200,"12",0,"",""
"A542","True",1,200,"12",0,"",""
"A543","True",0,200,"12",0,"",""
"A544","True",0,200,"12",0,"",""
"A545","True",0,200,"12",0,"",""
"A546","True",1,200,"12",0,"",""
"A548","True",0,200,"12",0,"",""
"A549","True",0,200,"12",0,"",""
"A55","True",1,200,"12",0,"",""
"A56","True",1,200,"12",0,"",""
"A560","True",1,200,"12",0,"",""
"A561","True",1,200,"12",0,"",""
"A562","True",1,200,"12",0,"",""
"A563","True",1,200,"12",0,"",""
"A564","True",1,200,"12",0,"",""
"A568","True",1,200,"12",0,"",""
"A57","True",1,200,"12",0,"",""
"A58","True",1,200,"12",0,"",""
"A59","True",1,200,"12",0,"",""
"A590","True",1,200,"12",0,"",""
"A598","True",1,200,"12",0,"",""
"A599","True",1,200,"12",0,"",""
"A60","True",1,200,"12",0,"",""
"A600","True",1,200,"12",0,"",""
"A601","True",1,200,"12",0,"",""
"A609","True",1,200,"12",0,"",""
"A63","True",1,200,"12",0,"",""
"A630","True",1,200,"12",0,"",""
"A638","True",1,200,"12",0,"",""
"A64","True",1,200,"12",0,"",""
"A65","True",0,200,"12",0,"",""
"A66","True",0,200,"12",0,"",""
"A660","True",0,200,"12",0,"",""
"A661","True",0,200,"12",0,"",""
"A662","True",0,200,"12",0,"",""
"A663","True",0,200,"12",0,"",""
"A664","True",0,200,"12",0,"",""
"A665","True",0,200,"12",0,"",""
"A666","True",0,200,"12",0,"",""
"A667","True",0,200,"12",0,"",""
"A668","True",0,200,"12",0,"",""
"A669","True",0,200,"12",0,"",""
"A67","True",0,200,"12",0,"",""
"A670","True",0,200,"12",0,"",""
"A671","True",0,200,"12",0,"",""
"A672","True",0,200,"12",0,"",""
"A673","True",0,200,"12",0,"",""
"A679","True",0,200,"12",0,"",""
"A68","True",0,200,"12",0,"",""
"A680","True",0,200,"12",0,"",""
"A681","True",0,200,"12",0,"",""
"A689","True",0,200,"12",0,"",""
"A69","True",0,200,"12",0,"",""
"A690","True",0,200,"12",0,"",""
"A691","True",0,200,"12",0,"",""
"A692","True",0,200,"12",0,"",""
"A698","True",0,200,"12",0,"",""
"A699","True",0,200,"12",0,"",""
"A70","True",0,200,"12",0,"",""
"A71","True",0,200,"12",0,"",""
"A710","True",0,200,"12",0,"",""
"A711","True",0,200,"12",0,"",""
"A719","True",0,200,"12",0,"",""
"A74","True",0,200,"12",0,"",""
"A740","True",0,200,"12",0,"",""
"A748","True",0,200,"12",0,"",""
"A749","True",0,200,"12",0,"",""
"A75","True",0,200,"12",0,"",""
"A750","True",0,200,"12",0,"",""
"A751","True",0,200,"12",0,"",""
"A752","True",0,200,"12",0,"",""
"A753","True",0,200,"12",0,"",""
"A759","True",0,200,"12",0,"",""
"A77","True",0,200,"12",0,"",""
"A770","True",0,200,"12",0,"",""
"A771","True",0,200,"12",0,"",""
"A772","True",0,200,"12",0,"",""
"A773","True",0,200,"12",0,"",""
"A778","True",0,200,"12",0,"",""
"A779","True",0,200,"12",0,"",""
"A78","True",0,200,"12",0,"",""
"A79","True",0,200,"12",0,"",""
"A790","True",0,200,"12",0,"",""
"A791","True",0,200,"12",0,"",""
"A798","True",0,200,"12",0,"",""
"A799","True",0,200,"12",0,"",""
"A80","True",0,200,"12",0,"",""
"A800","True",0,200,"12",0,"",""
"A801","True",0,200,"12",0,"",""
"A802","True",0,200,"12",0,"",""
"A803","True",0,200,"12",0,"",""
"A804","True",0,200,"12",0,"",""
"A809","True",0,200,"12",0,"",""
"A81","True",0,200,"12",0,"",""
"A810","True",0,200,"12",0,"",""
"A811","True",0,200,"12",0,"",""
"A812","True",0,200,"12",0,"",""
"A818","True",0,200,"12",0,"",""
"A819","True",0,200,"12",0,"",""
"A82","True",0,200,"12",0,"",""
"A820","True",0,200,"12",0,"",""
"A821","True",0,200,"12",0,"",""
"A829","True",0,200,"12",0,"",""
"A83","True",0,200,"12",0,"",""
"A830","True",0,200,"12",0,"",""
"A831","True",0,200,"12",0,"",""
"A832","True",0,200,"12",0,"",""
"A833","True",0,200,"12",0,"",""
"A834","True",0,200,"12",0,"",""
"A835","True",0,200,"12",0,"",""
"A836","True",0,200,"12",0,"",""
"A838","True",0,200,"12",0,"",""
"A839","True",0,200,"12",0,"",""
"A84","True",0,200,"12",0,"",""
"A840","True",0,200,"12",0,"",""
"A841","True",0,200,"12",0,"",""
"A848","True",0,200,"12",0,"",""
"A849","True",0,200,"12",0,"",""
"A85","True",0,200,"12",0,"",""
"A850","True",0,200,"12",0,"",""
"A851","True",0,200,"12",0,"",""
"A852","True",0,200,"12",0,"",""
"A858","True",0,200,"12",0,"",""
"A86","True",0,200,"12",0,"",""
"A87","True",0,200,"12",0,"",""
"A870","True",0,200,"12",0,"",""
"A871","True",0,200,"12",0,"",""
"A872","True",0,200,"12",0,"",""
"A878","True",0,200,"12",0,"",""
"A879","True",0,200,"12",0,"",""
"A88","True",0,200,"12",0,"",""
"A880","True",0,200,"12",0,"",""
"A881","True",0,200,"12",0,"",""
"A888","True",0,200,"12",0,"",""
"A89","True",0,200,"12",0,"",""
"A90","True",0,200,"12",0,"",""
"A91","True",0,200,"12",0,"",""
"A92","True",0,200,"12",0,"",""
"A920","True",0,200,"12",0,"",""
"A921","True",0,200,"12",0,"",""
"A922","True",0,200,"12",0,"",""
"A923","True",0,200,"12",0,"",""
"A924","True",0,200,"12",0,"",""
"A928","True",0,200,"12",0,"",""
"A929","True",0,200,"12",0,"",""
"A93","True",0,200,"12",0,"",""
"A930","True",0,200,"12",0,"",""
"A931","True",0,200,"12",0,"",""
"A932","True",0,200,"12",0,"",""
"A938","True",0,200,"12",0,"",""
"A94","True",0,200,"12",0,"",""
"A95","True",0,200,"12",0,"",""
"A950","True",0,200,"12",0,"",""
"A951","True",0,200,"12",0,"",""
"A959","True",0,200,"12",0,"",""
"A96","True",0,200,"12",0,"",""
"A960","True",0,200,"12",0,"",""
"A961","True",0,200,"12",0,"",""
"A962","True",0,200,"12",0,"",""
"A968","True",0,200,"12",0,"",""
"A969","True",0,200,"12",0,"",""
"A98","True",0,200,"12",0,"",""
"A980","True",0,200,"12",0,"",""
"A981","True",0,200,"12",0,"",""
"A982","True",0,200,"12",0,"",""
"A983","True",0,200,"12",0,"",""
"A984","True",0,200,"12",0,"",""
"A985","True",0,200,"12",0,"",""
"A988","True",0,200,"12",0,"",""
"A99","True",0,200,"12",0,"",""
"B00","True",0,200,"12",0,"",""
"B000","True",0,200,"12",0,"",""
"B001","True",0,200,"12",0,"",""
"B002","True",0,200,"12",0,"",""
"B003","True",0,200,"12",0,"",""
"B004","True",0,200,"12",0,"",""
"B005","True",0,200,"12",0,"",""
"B007","True",0,200,"12",0,"",""
"B008","True",0,200,"12",0,"",""
"B009","True",0,200,"12",0,"",""
"B01","True",0,200,"12",0,"",""
"B010","True",0,200,"12",0,"",""
"B011","True",0,200,"12",0,"",""
"B012","True",0,200,"12",0,"",""
"B018","True",0,200,"12",0,"",""
"B019","True",0,200,"12",0,"",""
"B02","True",0,200,"12",0,"",""
"B020","True",0,200,"12",0,"",""
"B021","True",0,200,"12",0,"",""
"B022","True",0,200,"12",0,"",""
"B023","True",0,200,"12",0,"",""
"B027","True",0,200,"12",0,"",""
"B028","True",0,200,"12",0,"",""
"B029","True",0,200,"12",0,"",""
"B03","True",0,200,"12",0,"",""
"B04","True",0,200,"12",0,"",""
"B05","True",0,200,"12",0,"",""
"B050","True",0,200,"12",0,"",""
"B051","True",0,200,"12",0,"",""
"B052","True",0,200,"12",0,"",""
"B053","True",0,200,"12",0,"",""
"B054","True",0,200,"12",0,"",""
"B058","True",0,200,"12",0,"",""
"B059","True",0,200,"12",0,"",""
"B06","True",0,200,"12",0,"",""
"B060","True",0,200,"12",0,"",""
"B068","True",0,200,"12",0,"",""
"B069","True",0,200,"12",0,"",""
